l	2-22-1	2-120	2021	2122	2-23-1	2-130	2031	2132	2233	2-24-1	2-140	2041	2142	2243	3-32-2	3-22-1	3-120	3021	3122	3-33-2	3-23-1	3-130	3031	3132	3233	3-34-2	3-24-1	3-140	3041	3142	3243	3344	4-32-2	4-22-1	4-120	4021	4122	4-43-3	4-33-2	4-23-1	4-130	4031	4132	4233	4-44-3	4-34-2	4-24-1	4-140	4041	4142	4243	4344
2	0.4466938451064621	0.09249909132275784	-0.20029390404206102	-0.3145331630812656	0.5430786545294682	0.43102196613211435	0.1771226813920753	-0.10630969171687428	-0.35813450549686143	0.2984001668222992	0.333626542791703	0.29238326875445253	0.21101735743174863	0.11279905943381001	0.5717695589543396	-0.158410913519261	-0.37064285555914617	-0.3436354852248838	-0.21017364246318282	0.1656290641926192	-0.04875924255098228	-0.10353336847610517	-0.05995176741925459	0.024842592166413515	0.09629058991355584	-0.23929534580940476	-0.3791591155216304	-0.36144300855463907	-0.2409968011882329	-0.05830322361017065	0.15788878492052896	0.386505612263995	-0.4917487246046958	-0.28697527952517804	-0.1315825363809649	-0.04004591484400168	-4.883535915218987e-06	-0.44564151301440413	-0.14905281646113297	0.14697628531212967	0.30050603513911806	0.3376341471186646	0.2917100041605497	0.1888083074970926	-0.30461746136527157	-0.19292637199926502	-0.018873273488687507	0.08825160275776849	0.12559611424567332	0.10965212312303485	0.061146178123057664	0.004832671054189951
3	0.32953645905076695	0.17298903601444834	-0.1441143468233358	-0.36482576383565096	0.23903696611694875	0.4140420320824201	0.3159046406189851	-0.009920162370930947	-0.43854402120703434	-0.05583310903912363	0.12481154716925276	0.27347191634419077	0.3157963650482349	0.23211559293032621	0.3800815445739188	0.0875522934744742	-0.27734146676401494	-0.42493465880366404	-0.33342067657256774	-0.1081219637329463	0.0911638792891771	0.05095597400291786	-0.03057773538646084	-0.04653253609166799	0.02159843650935718	-0.30119938377796096	-0.2635002650323073	-0.266499008015166	-0.23989631349934387	-0.13268614778227258	0.08584679421476545	0.43261840683690894	-0.11392394977943972	-0.3315721041602289	-0.30083852207262757	-0.17477590476863591	-0.05583887730486901	-0.4322098495870774	-0.03898328753216014	0.07408901551931965	0.19424714994694278	0.29397779324892614	0.3309712851855483	0.270828857357199	-0.059215794028758234	-0.0930027784717424	-0.1389689992153611	-0.08325296074032029	0.019139389214964598	0.11083552061489281	0.15227597935147816	0.1244726287027422
4	0.11537650894893701	0.1266856322206503	-0.02436071214777742	-0.2406987138593301	0.008513037316068067	0.14364479637201846	0.2487270785795723	0.10928708022579596	-0.3129794439075509	-0.06946857664269349	-0.09781768903002876	0.037810028270179055	0.2183496301424846	0.2733275517386069	0.11366235403932787	0.12574709131757097	-0.033854756496091785	-0.25598626727226287	-0.31155205326045343	-0.11460764946922855	-0.02662901535142724	0.1197987118919652	0.09037293532550944	-0.041305714797833085	-0.09491626050185589	-0.04105534637736155	-0.18377592551202956	-0.15441172561596844	-0.10205814836498364	-0.07051264197092103	-0.0017185056631428529	0.2534821197385926	0.0462226227761476	-0.060890495897058874	-0.22733442663033654	-0.24820493823481574	-0.13812124002528106	-0.1611247780322766	-0.12333779045447701	0.06882470096526022	0.11587368023998099	0.12693705531588398	0.1623196415540563	0.1927394976490269	0.10993415908091157	-0.04868191698787557	-0.07257925406594044	-0.10122979476784347	-0.08510566175270257	-0.004296640102909927	0.11688794655701656	0.20977345055720706
5	0.07406795104787113	0.06046926016560192	-5.815574378889566e-06	-0.14812002210283143	0.04859343190689853	0.047801774870983416	0.11900088167591368	0.11379494583441482	-0.20210021637900027	0.04257729858313152	-0.023787238145518447	-0.05213448078565184	0.0752679699780989	0.23335952168824212	0.08410320906423331	0.026172011893945062	0.005862374746807285	-0.11220023605480119	-0.22851639747060487	-0.0068722652878379165	-0.07131053261919938	0.009710428060378086	0.11076806093227527	0.037265421263368764	-0.11955825252274375	0.0073207451840040984	-0.06770676204030165	-0.15672054443987593	-0.10063049724507395	0.0002475748451243679	0.032911643060658524	0.1247808002465737	-0.04185036619722372	0.012025223747691636	-0.05736527659170608	-0.17613105237755367	-0.17032209216691804	-0.07313282682312419	-0.09562913748891877	-0.016641143083683852	0.12013666345371804	0.12828863448543	0.07086018364951266	0.07277969087504091	0.0053736790956658235	0.037415551461582985	-0.052006692984497525	-0.05303799882424452	-0.03976034043650679	-0.02898174250492123	0.02872511757634407	0.17534043414246467
6	0.04811577112239033	0.039289270915174944	-2.0438763454577054e-06	-0.09623298367064992	0.0257135446229584	0.044551363091301144	0.06300521036861335	0.08132470195704695	-0.13281270375499746	-0.00745605073993776	0.016644353233437346	-0.01823307959283177	0.010543513149895267	0.1697053113627209	0.05312345979097732	0.024406001067114703	-0.010502108744262936	-0.059403684531815514	-0.15431053560530117	-0.02253503454116975	-0.004041080690223072	-0.02038366689792207	0.04816981601224289	0.06489576913953043	-0.09532314186319064	-0.04177536856083865	-0.0018742428297540432	-0.0649370297080039	-0.11600890699819058	-0.023873909604542026	0.06931133374255086	0.06534569655189022	-0.00867890195797972	-0.032053410927323715	-0.01904200394216634	-0.08469903351679692	-0.14469575691363418	-0.06405983792026042	-0.010156999796771777	-0.041862424950283715	0.030851612815052137	0.12465908610934727	0.08124339063868326	0.004021784465085499	-0.007839432254171167	0.029542042361545232	0.0006313239968408004	-0.0710139493683554	-0.04269169975386303	0.010970419280673008	0.019727426875596255	0.10504336582552443
7	0.03336329258395873	0.02724081909024135	-1.5089200068761838e-08	-0.06672620198125917	0.017834847767564877	0.03088564926044938	0.04368520915726947	0.05639253274820639	-0.0920906218574212	6.520809497977767e-06	-4.342415955700045e-06	-4.8349148804476195e-06	8.267878940323153e-06	0.11962590298838788	0.036836940714227814	0.016916483883569405	-0.007277725057426021	-0.04118682348430083	-0.10699885826112876	-0.013616898840821354	-0.010557664443707652	2.9459211601616212e-06	0.019268786392399383	0.05274292505840761	-0.06809852720717086	-0.012615438236634299	-0.036528650642378126	-0.020560493900533237	-0.06667800641361682	-0.0488764966091728	0.06706735506869452	0.04139809795075713	-0.007979085065391377	-0.01491366856146507	-0.025844484024936828	-0.04718984118232245	-0.10549623237409442	-0.040325440328667424	-0.027293407443087014	0.006942455941311192	0.0017002775444109454	0.06771549110336118	0.08829677084879295	-0.012611869629311568	0.010444689809032527	-0.018740088194791	0.02372053143043867	-0.019005466150606477	-0.06663730147069143	-0.002764658865819548	0.0447633868004187	0.05910917840096525
8	0.02426296653508259	0.01981080492777954	-1.5748445821229908e-08	-0.048526522237226234	0.01296881593197776	0.022463335870168587	0.03176799722681639	0.041012401774559636	-0.0669729644496393	-1.8484555387707295e-06	2.7825345347626957e-06	-3.1135030657544886e-06	1.691327759135792e-06	0.08699998485202592	0.026788786477643163	0.012303930399033325	-0.00529465453380986	-0.029951168907220146	-0.07781555557622684	-0.009906248342437668	-0.007670357210239552	-3.4130051460047684e-06	0.014011865902152964	0.038361790375119616	-0.04952671604231801	-0.011235623843325201	-0.019445983918466827	-0.02751533353506392	-0.03552364204317175	-0.043490796966565014	0.051465091512807114	0.02971730303141085	-0.005799004604099482	-0.010852865372771052	-0.018791124785944583	-0.034316210074595545	-0.07672597736206388	-0.029717114364248887	-0.01715166904144649	-0.002907680139757574	0.014209303101688086	0.03668962256623245	0.07132178873567636	-0.011227641513135685	0.0027172452073703692	0.005066803720383427	-0.013388630253321198	0.004881349921110672	-0.037438232164180574	-0.027780330210914226	0.049399733538008	0.038460189475857914
9	0.018302160901689166	0.014943498071041103	-1.588011999217322e-08	-0.036604110880975	0.009783165619331858	0.016944339854184077	0.023962930744864414	0.0309361331621235	-0.05051847517479145	5.225916218131614e-07	9.938868733483289e-09	-3.4494091323136144e-08	-1.1909456218790568e-07	0.0656254665514442	0.020207569760841163	0.009280574386007703	-0.003993823934996285	-0.02259248177401243	-0.058697171163667496	-0.007471433236473863	-0.0057879932077469125	-6.8087464221345055e-09	0.010566712776683066	0.028938216846167177	-0.03735895950911739	-0.008471199805662874	-0.014676984172431962	-0.020748692252101887	-0.02679537549939246	-0.032810336925531286	0.038823847263799297	0.02241542222826591	-0.004375473600584841	-0.008184652974892579	-0.014176643343297476	-0.02588296407894006	-0.05787627753095133	-0.022415136464486757	-0.012942798697872153	-0.00218464850803964	0.010712617280997542	0.02767391821060427	0.05380365349985896	-0.00847170762268039	0.002589620509905274	0.0009727300959301975	-0.002580209029729171	-0.008187579244067046	-0.016376276144493523	-0.028461701029691547	0.040103940853651716	0.028472786207425535
10	0.014210366664764563	0.011602843029682562	-1.3717253472150939e-08	-0.028421224096211693	0.007595551418584223	0.013156389273246416	0.018605965053260388	0.024020340314203963	-0.03922502026532375	-4.4540793049950965e-07	-2.328314086768042e-09	-2.9261163657147575e-08	-1.449320084942994e-07	0.05095485213265412	0.01568968141266891	0.007206235560109622	-0.0031009922741661693	-0.017541884177054247	-0.04557536716149929	-0.005801690081160736	-0.004493415450124886	4.6474722911998895e-09	0.008204505053273704	0.02246910423213139	-0.02900735117067037	-0.006578496717349066	-0.011393244828078766	-0.016113217762175662	-0.020802156845827015	-0.02547748034764149	0.03014544182380222	0.01740431697638159	-0.003396572013674313	-0.006355349235241238	-0.011007428352129912	-0.020096773790295456	-0.04493802393329468	-0.017404265064315277	-0.010047894517769888	-0.0016988688178045709	0.008320831817937031	0.021484398933339532	0.041777534024167666	-0.0065783971569386545	0.002009475361030895	0.0007611541257312298	-0.0020130429210491237	-0.006350752765872413	-0.01271483173400202	-0.022103914878949027	0.03114221107438272	0.02210666446853836
11	0.011296086077242952	0.00922311211693328	-1.2140445484651094e-08	-0.02259211279597699	0.006038182171746038	0.01045802446443828	0.014789906873790823	0.019093849827834474	-0.031180083943536073	3.6750952114795606e-07	-9.005967354178367e-09	-3.096639005843994e-08	-1.6598967897379745e-07	0.04050418507023278	0.012472107873016775	0.005727945858050203	-0.002464978629586763	-0.013944068631633234	-0.03622800012076707	-0.004611335513782135	-0.0035723852821617137	9.469828345750636e-09	0.006521781984574258	0.017860809456321975	-0.023058052597628848	-0.005228754642461678	-0.009057360419792958	-0.012808413943220598	-0.016535663960873883	-0.020252171705203492	0.02396276691664821	0.013834719211203184	-0.0027005721735581306	-0.0050515283054313	-0.008749820193718382	-0.015974960511379803	-0.03572141183267547	-0.013834664537670514	-0.007987839943467022	-0.0013497914531440654	0.006614240115829923	0.01707798370857039	0.033209143444155015	-0.005229248610517359	0.0015974978096658626	0.000603348237868798	-0.0015969868424261064	-0.005051723918278693	-0.010103557001300712	-0.017572781965855	0.024755940645840947	0.017572467858067892
