l	2-233	2-243	2-144	3-322	3-332	3-233	3-342	3-243	3-144	4-421	4-322	4-431	4-332	4-233	4-441	4-342	4-243	4-144
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.016040525134107916	0.04167094812671277	0.029470842678408198	0.016040525134107916	0.05218971802814792	0.023727903136809756	0.0784816183202192	0.048680666570172164	0.014142561306208883	0.049111360891298014	0.01389506089800821	0.0876306513575362	0.03224823008103279	0.0031787342561835764	0.07519661536194021	0.018976498616791748	-0.01131713014193795	-0.012136044023635162
6	0.020442500482708764	0.04084805238296983	0.046226608035591664	0.020442500482708764	0.0539507445475388	0.04280082650986719	0.05201849622318312	0.0741217559112456	0.03964881264470461	0.053920782462878916	0.029966846556635934	0.06843777722569115	0.06768434773075364	0.022518585956750728	0.014125768299420301	0.04598866131850123	0.014925638716400099	-0.010489061642530547
7	0.016032582624740978	0.020820532212625056	0.0441851305189801	0.016032582624740974	0.030819700644094918	0.04506032970558851	0.006341909581057142	0.05679727396786406	0.05780638351308576	0.034358162860273544	0.034717963152569656	0.021037237383297727	0.065019104989947	0.044019072590888324	-0.029264052877720374	0.01996843450790518	0.04182920685677372	0.011080301433481463
8	0.010584033971272956	0.008247287567440755	0.03305651100951984	0.010584033971272954	0.014712553905736354	0.035380237615133606	-0.00485099313668656	0.026561473438939373	0.05700045360326336	0.01879445429028376	0.02841688160711874	0.003636723729144773	0.03849396619208592	0.04983055813411949	-0.015834170665135622	-0.014030874089184723	0.03450427174672507	0.03431421894654553
9	0.0069181530124089	0.0037187333113670802	0.022789375722458247	0.006918153012408902	0.00790340223264144	0.02483927390584017	-0.0026647885394379964	0.00977482813169319	0.045369766581216095	0.011102513963342045	0.020246451712688716	0.0016415339520130206	0.01955275820117542	0.04214331614394919	-0.003970858534147332	-0.016811355063214097	0.012737878812768697	0.04223374259410465
10	0.00461087560518275	0.0018429870447581789	0.015638250113229026	0.004610875605182749	0.004616330546014732	0.017206315814152367	-0.0015861831402312699	0.003634414424277355	0.03331988800748014	0.006950334887059632	0.014129554586354653	0.0008126858258176222	0.010903245807930034	0.031723786889227765	-0.0023369848426248794	-0.00988702310417937	0.0005459888252755728	0.03777794957734877
11	0.003152159625004874	0.0009827453429251834	0.010886868107435166	0.003152159625004874	0.0028718570975024625	0.012046885166972903	-0.0010008828633332808	0.001227402888726801	0.024123167527021608	0.004555497230694249	0.00993665590522622	0.00043334691765854446	0.006524607814457927	0.02327395968052255	-0.0014601174131973263	-0.006187140488928102	-0.003091132041973098	0.03002744028822667
12	0.0022100216535949125	0.0005556594194851412	0.007727227514166061	0.0022100216535949125	0.0018768479139151186	0.008582883626121076	-0.0006615557216848821	0.0002556811881936884	0.01755993440354463	0.0030996232294528527	0.007100080160222406	0.0002450246485807072	0.004127412711831041	0.01708094705593	-0.000958092953755092	-0.004061566465097476	-0.003835148613257104	0.023074418042244003
