l	2-244	3-333	3-343	3-244	4-422	4-432	4-333	4-442	4-343	4-244
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.015017716773804476	0.017769202118764125	0.044451175168434075	0.02369636049173851	0.015017716773804476	0.047380447983318016	0.017103146590885944	0.06672870180097412	0.03025295624272392	0.004066496268759223
7	0.017334977350702836	0.020511021808996558	0.038412145210584565	0.03852268276526496	0.017334977350702836	0.04352140447072127	0.032640118566086104	0.03565544673723754	0.052786291966673594	0.022430072231379466
8	0.012602867785980338	0.014911914263543139	0.01721092433502936	0.03728660222565376	0.012602867785980338	0.022361054828518807	0.034445461950106136	-0.00035688030045902817	0.040987481889766364	0.03913240629386748
9	0.00780787007869028	0.009238396464321591	0.005795148222629493	0.027315642045632197	0.007807870078690278	0.009637943811654177	0.026207595890709857	-0.006031049449905269	0.017315133714807033	0.040739743829246264
10	0.004808126145583772	0.005689051576896168	0.0021565375436688383	0.01804406422210448	0.004808126145583772	0.004712142085480186	0.01755091521245916	-0.0030646362695483445	0.004789264833886852	0.03220831420243641
11	0.0030274642280026425	0.0035821439826687436	0.000846063139973845	0.011804791766917627	0.003027464228002642	0.0025237841637573495	0.011562847616044937	-0.001696502652265159	0.0008901059213778855	0.02285873538179656
12	0.001960178925741411	0.0023193149827673357	0.0003347634598788292	0.007827688779171836	0.0019601789257414105	0.001449571151897507	0.00769957931793869	-0.0010008090393669564	-0.00030924071977098106	0.015874104035118276
13	0.0013046427706947844	0.0015436741439748957	0.00012486052442403406	0.0052947271178310756	0.0013046427706947842	0.0008799694580685107	0.0052225835709657905	-0.000621221643114768	-0.000612995511224843	0.011059129223234482
14	0.0008908370468468229	0.0010540526085773309	3.6660149957032914e-05	0.0036574355088513275	0.000890837046846823	0.0005587749254580039	0.003614685193855868	-0.000401915299427674	-0.0006205771946948314	0.007796370001629384
15	0.0006225681388243684	0.0007366325559401613	3.799859132187954e-10	0.0025782136167131096	0.000622568138824369	0.00036831660704753685	0.0025517696468094486	-0.0002691400398932099	-0.0005401961908089901	0.005577697870747197
16	0.0004442814315161875	0.0005256808789998962	-1.4198576128434372e-05	0.0018521794041244275	0.00044428143151618795	0.0002505441118751564	0.0018352105581190049	-0.0001855590769878648	-0.0004445217713729863	0.004051969597327959
17	0.0003230746177509574	0.0003822670429018148	-1.853198101271761e-05	0.0013539838164958176	0.0003230746177509579	0.00017508435511144334	0.0013427438617428298	-0.00013117502598499958	-0.00035736486510090995	0.002987899769586048
18	0.00023895418239434216	0.0002827344015100519	-1.8623987286610333e-05	0.001005699251395147	0.00023895418239434205	0.00012523835464506308	0.0009980446842125905	-9.476665016014007e-05	-0.0002847573355776934	0.0022347139217574956
19	0.00017946736708985753	0.0002123486524332847	-1.7027534870879417e-05	0.0007579665612785033	0.0001794673670898577	9.142804845463651e-05	0.0007526248447373476	-6.978216451046005e-05	-0.00022650409089512203	0.0016937129796683326
20	0.00013667716390311862	0.00016171860123572756	-1.4898938656993394e-05	0.0005789179636914267	0.00013667716390311857	6.795644125148157e-05	0.0005751086063954943	-5.225873123567748e-05	-0.00018052757809354036	0.0012996183866633697
