l	3-344	4-433	4-443	4-344
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.017067659047659535	0.01706765904765953	0.04138157916240784	0.017742526111210046
8	0.018161775091099536	0.018161775091099536	0.032187602879115464	0.030726631547731083
9	0.012372787673208568	0.012372787673208568	0.012849844927180986	0.03001074883533731
10	0.007248932810437523	0.007248932810437523	0.0036676473360575004	0.02144339252060418
11	0.004234479195951318	0.004234479195951317	0.0010704148378134523	0.013598251384148727
12	0.002534805624085912	0.002534805624085913	0.00026880133618073076	0.008512022920275536
13	0.0015633757977368667	0.0015633757977368673	1.7469277595671163e-05	0.005398223348411884
14	0.0009930530189343307	0.0009930530189343303	-5.431586956510716e-05	0.0034943524363729417
15	0.0006482803263602879	0.0006482803263602875	-6.663097994389642e-05	0.0023123399055506037
16	0.0004338767947140899	0.0004338767947140906	-6.0400417254430895e-05	0.0015633937225943025
17	0.0002969918360684235	0.00029699183606842297	-4.978095862681044e-05	0.0010785908576341626
18	0.00020746711350329267	0.00020746711350329232	-3.947703427850403e-05	0.0007581641972532276
19	0.00014761720051243793	0.0001476172005124381	-3.080852575314283e-05	0.0005421695084703948
20	0.00010679819160019922	0.00010679819160019974	-2.3914427144863823e-05	0.0003938742151609073
