l	2-22-2	2-12-1	2020	2121	2222	2-23-2	2-13-1	2030	2131	2232	2-24-2	2-14-1	2040	2141	2242	3-22-2	3-12-1	3020	3121	3222	3-33-3	3-23-2	3-13-1	3030	3131	3232	3333	3-34-3	3-24-2	3-14-1	3040	3141	3242	3343	4-22-2	4-12-1	4020	4121	4222	4-33-3	4-23-2	4-13-1	4030	4131	4232	4333	4-44-4	4-34-3	4-24-2	4-14-1	4040	4141	4242	4343	4444
2	0.46225852349027857	-0.23110522646320167	-0.4622430169908796	-0.23110522646320147	0.46225852349027874	0.6836560917216734	0.4324192106452475	-7.629712339393882e-17	-0.43241921064524763	-0.6836560917216733	0.2583530020955706	0.36546186737809105	0.40034112099473507	0.36546186737809094	0.2583530020955706	-0.6836560917216734	-0.4324192106452475	7.629712339393882e-17	0.43241921064524763	0.6836560917216733	-3.263771984568054e-05	3.7348149114138736e-05	-3.3668895013601714e-05	-3.1090957094097154e-05	-3.3668895013623514e-05	3.734814911405154e-05	-3.263771984586583e-05	-0.5604802484643023	-0.4891449897322195	-0.2734889721875037	5.449794528138487e-17	0.2734889721875038	0.48914498973221965	0.5604802484643026	0.2583530020955706	0.36546186737809105	0.40034112099473507	0.36546186737809094	0.2583530020955706	0.5604802484643023	0.4891449897322195	0.2734889721875037	-5.449794528138487e-17	-0.2734889721875038	-0.48914498973221965	-0.5604802484643026	-0.23530841161359983	-0.058799501570589684	0.06717887710535712	0.1429193568679907	0.16813379713557797	0.1429193568679907	0.06717887710535711	-0.05879950157058959	-0.23530841161359972
3	-0.061148470016297446	0.12228940903198872	8.71967124502158e-17	-0.1222894090319885	0.06114847001629775	-0.2411608836828138	0.07625597982146257	0.2157051234001365	0.07625597982146244	-0.24116088368281394	-0.2734402717083497	-0.19337380317113703	8.71967124502158e-17	0.19337380317113703	0.2734402717083497	0.2411608836828138	-0.07625597982146257	-0.2157051234001365	-0.07625597982146244	0.24116088368281394	-0.14266733635932413	0.1426616855257603	0.14268918142730022	-1.7984321942857008e-16	-0.14268918142730053	-0.14266168552576053	0.14266733635932383	0.06741020185298559	0.0146822725165849	-0.03287258056756534	-0.0509379249785073	-0.03287258056756532	0.014682272516584943	0.06741020185298573	-0.2734402717083497	-0.19337380317113703	8.71967124502158e-17	0.19337380317113703	0.2734402717083497	-0.06741020185298559	-0.0146822725165849	0.03287258056756534	0.0509379249785073	0.03287258056756532	-0.014682272516584943	-0.06741020185298573	0.20233863581226058	-0.10118727014847834	-0.1878579697549703	-0.1300903490947576	1.634938358441546e-16	0.13009034909475792	0.18785796975497054	0.10118727014847856	-0.20233863581226036
4	0.004441087836471563	-0.017797507760699532	0.02667504063162063	-0.017797507760699362	0.004441087836471991	0.052623375608062906	-0.08320051960039312	-7.629712339393882e-17	0.08320051960039293	-0.052623375608063114	0.14645519513260813	-0.03451576244175977	-0.1260519508574155	-0.03451576244175964	0.14645519513260813	-0.052623375608062906	0.08320051960039312	7.629712339393882e-17	-0.08320051960039293	0.052623375608063114	0.059439698216311065	-0.13866653331051274	0.019814687102390312	0.11887721488719201	0.019814687102390083	-0.13866653331051293	0.05943969821631078	0.07352393245069362	-0.04812805418423016	-0.06459173468873704	1.7984321942857008e-16	0.0645917346887373	0.04812805418423027	-0.07352393245069337	0.14645519513260813	-0.03451576244175977	-0.1260519508574155	-0.03451576244175964	0.14645519513260813	-0.07352393245069362	0.04812805418423016	0.06459173468873704	-1.7984321942857008e-16	-0.0645917346887373	-0.04812805418423027	0.07352393245069337	-0.04311533706867017	0.06465978575628889	0.03384478937169066	-0.02770977422050442	-0.05542696626791285	-0.027709774220504375	0.033844789371690824	0.06465978575628913	-0.04311533706866999
5	1.0610910824721486e-05	6.550661239101636e-06	-3.269876716883092e-17	-6.550661239058037e-06	-1.0610910824252804e-05	-0.005190137790996576	0.016427848852518214	-0.023215155227284723	0.016427848852517975	-0.00519013779099699	-0.04121933733979259	0.0582882206740844	6.539753433766185e-17	-0.0582882206740842	0.04121933733979272	0.005190137790996576	-0.016427848852518214	0.023215155227284723	-0.016427848852517975	0.00519013779099699	-0.01229806186443347	0.049149879405375026	-0.06144445469349347	-5.994773980952335e-17	0.061444454693493265	-0.04914987940537519	0.012298061864433288	-0.04912188407857964	0.08573978271863955	-0.004797868932342569	-0.07427066291256479	-0.004797868932342335	0.0857397827186397	-0.049121884078579335	-0.04121933733979259	0.0582882206740844	6.539753433766185e-17	-0.0582882206740842	0.04121933733979272	0.04912188407857964	-0.08573978271863955	0.004797868932342569	0.07427066291256479	0.004797868932342335	-0.0857397827186397	0.049121884078579335	-0.011334496966814319	0.0311953345391983	-0.011334730517553043	-0.025528564246032538	1.9619260301298554e-16	0.025528564246032767	0.011334730517553163	-0.03119533453919807	0.011334496966814335
6	-1.0498611212994336e-05	-1.604522226704966e-06	2.292932666354754e-06	-1.6045222266572802e-06	-1.0498611212610125e-05	-8.217862598367671e-06	-7.291470445097794e-06	1.9074280848484705e-17	7.291470444985392e-06	8.217862597991636e-06	0.004873088817283379	-0.013791045134258814	0.018868977451749848	-0.013791045134258611	0.00487308881728365	8.217862598367671e-06	7.291470445097794e-06	-1.9074280848484705e-17	-7.291470444985392e-06	-8.217862597991636e-06	0.001095292643719129	-0.0065371596084465	0.01635236197611047	-0.021790311354867843	0.01635236197611024	-0.006537159608446811	0.0010952926437190215	0.013222460455004347	-0.040362603957013035	0.04513563124417435	7.357222612986957e-17	-0.045135631244174135	0.04036260395701322	-0.013222460455004113	0.004873088817283379	-0.013791045134258814	0.018868977451749848	-0.013791045134258611	0.00487308881728365	-0.013222460455004347	0.040362603957013035	-0.04513563124417435	-7.357222612986957e-17	0.045135631244174135	-0.04036260395701322	0.013222460455004113	0.009588562276873661	-0.040762185390185945	0.052742535343346025	0.002393096221909769	-0.04796346090547049	0.002393096221909998	0.052742535343346254	-0.040762185390185654	0.009588562276873644
7	8.94169930015487e-06	7.267873093000856e-08	2.179917811255395e-17	-7.267873087823552e-08	-8.941699299784284e-06	9.801224669421549e-06	2.1906425117729387e-06	-2.905746502861512e-06	2.1906425117729387e-06	9.801224669094562e-06	6.4980794155385885e-06	7.500213133047125e-06	-3.269876716883092e-17	-7.500213132932679e-06	-6.4980794152156885e-06	-9.801224669421549e-06	-2.1906425117729387e-06	2.905746502861512e-06	-2.1906425117729387e-06	-9.801224669094562e-06	-1.6902018588652252e-06	-6.062822254652144e-06	-7.942258177826965e-06	2.7248972640692436e-18	7.942258177698214e-06	6.062822254254308e-06	1.6902018587971028e-06	-0.0014170957695995275	0.0064616850880891115	-0.014456213238238348	0.01865232565547416	-0.014456213238238149	0.006461685088089417	-0.001417095769599375	6.4980794155385885e-06	7.500213133047125e-06	-3.269876716883092e-17	-7.500213132932679e-06	-6.4980794152156885e-06	0.0014170957695995275	-0.0064616850880891115	0.014456213238238348	-0.01865232565547416	0.014456213238238149	-0.006461685088089417	0.001417095769599375	-0.0024447985369889158	0.01466463636836661	-0.03419354929282727	0.034204704567706606	5.449794528138487e-18	-0.03420470456770635	0.03419354929282751	-0.014664636368366372	0.0024447985369889184
8	-7.5858593626397846e-06	-7.048227219021864e-08	-6.107949283515071e-09	-7.048227219396537e-08	-7.585859362383985e-06	-8.854229730388924e-06	-1.2043333042452967e-07	-6.812243160173109e-18	1.2043333041635498e-07	8.854229730078968e-06	-9.034927007975045e-06	-2.536722362781062e-06	3.222676055108722e-06	-2.5367223627892367e-06	-9.03492700762762e-06	8.854229730388924e-06	1.2043333042452967e-07	6.812243160173109e-18	-1.2043333041635498e-07	-8.854229730078968e-06	3.2735531618349507e-07	9.231020039011258e-06	3.0223374113389734e-06	-3.7151178265596002e-06	3.02233741137031e-06	9.231020038654977e-06	3.273553161896261e-07	2.4900223943528354e-06	4.629720413265158e-06	8.048033270650368e-06	-8.992160971428504e-17	-8.04803327054069e-06	-4.6297204128952535e-06	-2.4900223943351235e-06	-9.034927007975045e-06	-2.536722362781062e-06	3.222676055108722e-06	-2.5367223627892367e-06	-9.03492700762762e-06	-2.4900223943528354e-06	-4.629720413265158e-06	-8.048033270650368e-06	8.992160971428504e-17	8.04803327054069e-06	4.6297204128952535e-06	2.4900223943351235e-06	0.00023864783735466684	-0.001903503206085043	0.0066326317893048905	-0.013273048139033334	0.016582969612723434	-0.013273048139033046	0.006632631789305079	-0.0019035032060849319	0.0002386478373546607
9	6.584370178413019e-06	6.37256966875475e-08	-2.179917811255395e-17	-6.372569673387076e-08	-6.584370178249526e-06	7.679896359865795e-06	1.1205290033270731e-07	1.0135614223600949e-08	1.1205290038720526e-07	7.679896359593306e-06	8.552609037083068e-06	1.559263225873886e-07	-4.35983562251079e-17	-1.559263225873886e-07	-8.552609036702944e-06	-7.679896359865795e-06	-1.1205290033270731e-07	-1.0135614223600949e-08	-1.1205290038720526e-07	-7.679896359593306e-06	-1.2846070014273074e-07	-8.971923375337784e-06	-1.962236238429171e-07	7.357222612986957e-17	1.96223623885153e-07	8.97192337501216e-06	1.284607002033597e-07	-5.213422684207582e-07	-8.558847266361552e-06	-3.5239081597527322e-06	4.146414926294922e-06	-3.5239081596600855e-06	-8.558847266040015e-06	-5.213422684752561e-07	8.552609037083068e-06	1.559263225873886e-07	-4.35983562251079e-17	-1.559263225873886e-07	-8.552609036702944e-06	5.213422684207582e-07	8.558847266361552e-06	3.5239081597527322e-06	-4.146414926294922e-06	3.5239081596600855e-06	8.558847266040015e-06	5.213422684752561e-07	-5.336989853730578e-07	3.6197555901297944e-06	3.512777592650359e-06	8.068412882079716e-06	-1.1172078782683898e-16	-8.06841288198707e-06	-3.512777592440542e-06	-3.619755590088921e-06	5.336989853049353e-07
10	-5.8096933181849185e-06	-5.4507052697506184e-08	-1.7689533646415944e-09	-5.450705277158933e-08	-5.809693318000988e-06	-6.778427942295937e-06	-9.866394950703535e-08	4.9048150753246384e-17	9.8663949536328e-08	6.778427942022085e-06	-7.547570616183357e-06	-1.4142061402762035e-07	-1.187825112040642e-08	-1.4142061396222282e-07	-7.547570615839679e-06	6.778427942295937e-06	9.866394950703535e-08	-4.9048150753246384e-17	-9.8663949536328e-08	-6.778427942022085e-06	1.1183317086143485e-07	7.915477793711105e-06	1.7606543393364057e-07	1.5484776336576225e-08	1.7606543388459242e-07	7.915477793411196e-06	1.1183317091865768e-07	1.8350986616623487e-07	8.826600474678154e-06	2.524021570762315e-07	-3.542366443290017e-17	-2.524021570489825e-07	-8.82660047441384e-06	-1.83509866136261e-07	-7.547570616183357e-06	-1.4142061402762035e-07	-1.187825112040642e-08	-1.4142061396222282e-07	-7.547570615839679e-06	-1.8350986616623487e-07	-8.826600474678154e-06	-2.524021570762315e-07	3.542366443290017e-17	2.524021570489825e-07	8.82660047441384e-06	1.83509866136261e-07	5.822891885541801e-08	-8.366330648224684e-07	-7.975805689288956e-06	-4.128295019520289e-06	4.650704258048923e-06	-4.128295019379957e-06	-7.975805688992623e-06	-8.366330647628613e-07	5.822891878320823e-08
11	5.187752850296626e-06	4.480326339860278e-08	1.0899589056276974e-17	-4.480326342585176e-08	-5.187752850073185e-06	6.059124720806155e-06	8.252056691118671e-08	1.8365880205587763e-09	8.252056687303814e-08	6.059124720544565e-06	6.752975835183473e-06	1.2290252374352305e-07	1.0899589056276974e-17	-1.2290252367267573e-07	-6.752975834940957e-06	-6.059124720806155e-06	-8.252056691118671e-08	-1.8365880205587763e-09	-8.252056687303814e-08	-6.059124720544565e-06	-9.311502211897766e-08	-7.078567608237477e-06	-1.519522667654984e-07	-2.7248972640692436e-18	1.519522667213891e-07	7.0785676079990485e-06	9.311502210262827e-08	-1.574069231081303e-07	-7.894130041570507e-06	-2.2104337683252673e-07	-1.6243618987386764e-08	-2.2104337675077982e-07	-7.894130041314366e-06	-1.574069230154838e-07	6.752975835183473e-06	1.2290252374352305e-07	1.0899589056276974e-17	-1.2290252367267573e-07	-6.752975834940957e-06	1.574069231081303e-07	7.894130041570507e-06	2.2104337683252673e-07	1.6243618987386764e-08	2.2104337675077982e-07	7.894130041314366e-06	1.574069230154838e-07	3.792785011413769e-09	2.624193424716417e-07	8.814871029432325e-06	3.243849088647442e-07	4.35983562251079e-17	-3.2438490879934665e-07	-8.814871029187083e-06	-2.6241934240488173e-07	-3.792785027763152e-09
