l	2-12-2	202-1	2120	2221	2-23-3	2-13-2	203-1	2130	2231	2-24-3	2-14-2	204-1	2140	2241	3-12-2	302-1	3120	3221	3322	3-23-3	3-13-2	303-1	3130	3231	3332	3-34-4	3-24-3	3-14-2	304-1	3140	3241	3342	4-12-2	402-1	4120	4221	4322	4-23-3	4-13-2	403-1	4130	4231	4332	4433	4-34-4	4-24-3	4-14-2	404-1	4140	4241	4342	4443
2	-0.3145331630812656	-0.20029390404206102	0.09249909132275799	0.44669384510646254	0.3581345054968615	0.10630969171687427	-0.17712268139207543	-0.4310219661321146	-0.5430786545294686	0.11279905943381002	0.21101735743174876	0.29238326875445264	0.3336265427917032	0.2984001668222994	0.21017364246318287	0.3436354852248839	0.3706428555591463	0.15841091351926104	-0.5717695589543401	0.09629058991355585	0.02484259216641344	-0.0599517674192547	-0.10353336847610527	-0.048759242550982414	0.16562906419261922	-0.3865056122639951	-0.1578887849205289	0.05830322361017079	0.24099680118823305	0.36144300855463923	0.3791591155216308	0.2392953458094049	-4.883535915175388e-06	-0.04004591484400169	-0.13158253638096498	-0.28697527952517826	-0.49174872460469615	-0.18880830749709268	-0.2917100041605498	-0.3376341471186647	-0.3005060351391181	-0.14697628531212967	0.14905281646113316	0.44564151301440447	0.0048326710541899565	0.06114617812305778	0.10965212312303498	0.1255961142456734	0.08825160275776864	-0.01887327348868744	-0.1929263719992651	-0.3046174613652717
3	0.36482576383565113	0.1441143468233359	-0.17298903601444823	-0.3295364590507667	-0.4385440212070346	-0.009920162370930994	0.31590464061898516	0.41404203208241996	0.23903696611694836	-0.23211559293032633	-0.31579636504823505	-0.27347191634419077	-0.1248115471692525	0.05583310903912401	-0.33342067657256785	-0.4249346588036642	-0.27734146676401494	0.08755229347447432	0.38008154457391835	-0.021598436509357236	0.046532536091667964	0.030577735386460712	-0.05095597400291816	-0.09116387928917738	0.10812196373294652	0.4326184068369091	0.08584679421476551	-0.13268614778227256	-0.2398963134993437	-0.26649900801516585	-0.26350026503230706	-0.30119938377796107	0.055838877304868986	0.17477590476863603	0.30083852207262773	0.3315721041602289	0.11392394977943932	0.270828857357199	0.33097128518554847	0.29397779324892614	0.1942471499469428	0.07408901551931969	-0.03898328753215985	-0.4322098495870771	-0.12447262870274219	-0.15227597935147816	-0.11083552061489277	-0.019139389214964372	0.08325296074032054	0.13896899921536132	0.09300277847174236	0.05921579402875805
4	-0.24069871385933025	-0.024360712147777602	0.12668563222065024	0.11537650894893722	0.3129794439075511	-0.10928708022579592	-0.2487270785795723	-0.14364479637201855	-0.008513037316068416	0.27332755173860707	0.2183496301424847	0.037810028270179055	-0.09781768903002862	-0.06946857664269306	0.3115520532604536	0.255986267272263	0.03385475649609196	-0.12574709131757072	-0.11366235403932805	-0.09491626050185586	-0.04130571479783299	0.0903729353255096	0.11979871189196517	-0.026629015351427445	-0.11460764946922829	-0.25348211973859286	0.001718505663142733	0.07051264197092091	0.10205814836498368	0.15441172561596878	0.18377592551202987	0.04105534637736146	-0.13812124002528117	-0.24820493823481585	-0.22733442663033648	-0.060890495897058784	0.046222622776147144	-0.192739497649027	-0.16231964155405637	-0.12693705531588415	-0.11587368023998129	-0.06882470096526046	0.12333779045447725	0.16112477803227662	0.20977345055720714	0.1168879465570165	-0.004296640102909992	-0.08510566175270258	-0.1012297947678434	-0.07257925406594039	-0.04868191698787575	0.10993415908091132
5	0.14812002210283165	5.815574378930439e-06	-0.06046926016560194	-0.07406795104787105	-0.20210021637900052	0.11379494583441489	0.11900088167591381	0.04780177487098345	0.048593431906898285	-0.2333595216882424	-0.07526796997809902	0.052134480785651874	0.023787238145518523	-0.04257729858313113	-0.22851639747060512	-0.11220023605480138	0.005862374746807269	0.026172011893945225	0.08410320906423313	0.11955825252274385	-0.03726542126336884	-0.11076806093227541	-0.009710428060378206	0.07131053261919913	0.006872265287838178	0.12478080024657386	0.03291164306065858	0.00024757484512436244	-0.1006304972450741	-0.15672054443987596	-0.06770676204030143	0.007320745184003872	0.1703220921669182	0.1761310523775539	0.05736527659170621	-0.012025223747691447	0.04185036619722343	0.07277969087504102	0.07086018364951276	0.12828863448543018	0.12013666345371804	-0.016641143083684046	-0.09562913748891849	-0.07313282682312418	-0.1753404341424648	-0.02872511757634408	0.028981742504921196	0.03976034043650692	0.053037998824244814	0.0520066929844978	-0.03741555146158321	-0.0053736790956659215
6	-0.09623298367065006	-2.043876345435906e-06	0.03928927091517497	0.04811577112239039	0.13281270375499774	-0.08132470195704714	-0.06300521036861342	-0.04455136309130109	-0.025713544622958464	0.16970531136272124	0.0105435131498953	-0.018233079592831877	0.016644353233437225	-0.007456050739937532	0.15431053560530147	0.05940368453181559	0.01050210874426288	-0.02440600106711465	-0.053123459790977365	-0.09532314186319084	0.06489576913953056	0.04816981601224306	-0.020383666897922027	-0.004041080690223318	-0.022535034541169657	-0.06534569655189033	-0.06931133374255097	0.023873909604542044	0.11600890699819072	0.06493702970800395	0.001874242829754381	0.04177536856083843	-0.14469575691363445	-0.08469903351679711	-0.019042003942166413	-0.03205341092732353	-0.008678901957979844	-0.004021784465085504	-0.0812433906386834	-0.12465908610934748	-0.030851612815052193	0.04186242495028351	0.010156999796772108	0.0640598379202604	0.10504336582552463	0.01972742687559626	0.010970419280672997	-0.04269169975386327	-0.07101394936835548	0.0006313239968411144	0.02954204236154498	-0.007839432254171098
7	0.06672620198125931	1.5089200079661425e-08	-0.027240819090241345	-0.03336329258395873	-0.0920906218574214	0.056392532748206485	0.04368520915726945	0.03088564926044939	0.01783484776756482	-0.11962590298838811	-8.267878940241406e-06	4.834914880539245e-06	4.342415955610124e-06	-6.5208094978769454e-06	-0.106998858261129	-0.04118682348430087	-0.007277725057426037	0.016916483883569443	0.03683694071422783	0.06809852720717104	-0.05274292505840782	-0.019268786392399522	-2.9459211600608e-06	0.01055766444370753	0.013616898840821411	0.041398097950757155	0.06706735506869471	-0.0488764966091728	-0.06667800641361701	-0.020560493900533324	-0.03652865064237781	-0.012615438236634477	0.10549623237409471	0.04718984118232255	0.02584448402493674	0.014913668561465178	0.007979085065391274	-0.012611869629311639	0.08829677084879307	0.06771549110336145	0.0017002775444110408	0.006942455941310921	-0.02729340744308679	-0.04032544032866743	-0.059109178400965384	-0.044763386800418706	0.0027646588658196136	0.06663730147069148	0.019005466150606557	-0.023720531430438375	0.01874008819479067	-0.010444689809032418
8	-0.048526522237226366	-1.5748445864828262e-08	0.019810804927779483	0.024262966535082513	0.06697296444963946	-0.04101240177455972	-0.031767997226816405	-0.022463335870168532	-0.012968815931977738	0.08699998485202609	1.691327759059495e-06	-3.113503065765388e-06	2.7825345346863984e-06	-1.8484555386917075e-06	0.07781555557622706	0.029951168907220185	0.005294654533809827	-0.012303930399033247	-0.026788786477643097	-0.04952671604231814	0.0383617903751198	0.014011865902153055	-3.4130051459107596e-06	-0.007670357210239612	-0.009906248342437588	-0.029717303031410954	-0.051465091512807364	0.043490796966565104	0.035523642043171724	0.027515333535063812	0.019445983918467014	0.011235623843325038	-0.07672597736206414	-0.034316210074595586	-0.018791124785944597	-0.010852865372770942	-0.005799004604099526	0.011227641513135796	-0.0713217887356766	-0.03668962256623252	-0.014209303101688048	0.0029076801397573643	0.017151669041446597	0.029717114364248755	0.03846018947585793	0.049399733538008146	-0.027780330210914406	-0.03743823216418078	0.004881349921110627	-0.013388630253320977	0.005066803720383192	0.002717245207370413
9	0.0366041108809751	1.5880120015334846e-08	-0.014943498071041146	-0.0183021609016892	-0.05051847517479153	0.030936133162123562	0.023962930744864462	0.016944339854184146	0.009783165619331824	-0.06562546655144434	1.1909456223286648e-07	3.449409122812664e-08	-9.938868738933084e-09	-5.225916216864538e-07	-0.05869717116366759	-0.02259248177401248	-0.003993823934996338	0.009280574386007765	0.020207569760841152	0.037358959509117474	-0.028938216846167306	-0.010566712776682998	6.8087464044226735e-09	0.005787993207746815	0.007471433236473958	0.022415422228265935	0.03882384726379951	-0.03281033692553153	-0.026795375499392482	-0.020748692252101863	-0.01467698417243192	-0.008471199805662974	0.05787627753095149	0.025882964078940043	0.014176643343297546	0.00818465297489269	0.004375473600584752	-0.008471707622680505	0.05380365349985927	0.02767391821060427	0.010712617280997497	-0.0021846485080396706	-0.012942798697872073	-0.02241513646448683	-0.028472786207425483	-0.040103940853651994	0.028461701029691734	0.016376276144493603	0.00818757924406696	0.0025802090297292976	-0.0009727300959302476	-0.0025896205099052755
10	-0.028421224096211686	-1.3717253458526452e-08	0.011602843029682576	0.014210366664764629	0.03922502026532377	-0.02402034031420404	-0.018605965053260346	-0.013156389273246465	-0.007595551418584342	0.05095485213265423	-1.4493200865234345e-07	-2.9261163624448808e-08	-2.3283139886717402e-09	-4.4540793040413824e-07	0.04557536716149935	0.01754188417705418	0.003100992274166202	-0.007206235560109568	-0.015689681412668997	-0.02900735117067049	0.02246910423213156	0.00820450505327364	4.6474722053656255e-09	-0.0044934154501249405	-0.0058016900811606745	-0.017404316976381565	-0.030145441823802428	0.025477480347641704	0.020802156845827056	0.016113217762175672	0.0113932448280788	0.006578496717349034	-0.044938023933294866	-0.02009677379029537	-0.01100742835212984	-0.006355349235241238	-0.0033965720136744223	0.0065783971569388444	-0.04177753402416788	-0.021484398933339505	-0.00832083181793702	0.0016988688178045926	0.010047894517769947	0.01740426506431538	0.022106664468538314	0.031142211074382968	-0.022103914878949287	-0.012714831734001977	-0.006350752765872312	-0.0020130429210490687	0.0007611541257312053	0.0020094753610308104
11	0.022592112795976928	1.214044541925356e-08	-0.009223112116933222	-0.011296086077242801	-0.031180083943536028	0.0190938498278346	0.01478990687379075	0.01045802446443812	0.0060381821717458975	-0.04050418507023295	1.6598967919434381e-07	3.096639016351879e-08	9.005967440012631e-09	-3.675095211166197e-07	-0.036228000120767115	-0.01394406863163308	-0.002464978629586646	0.005727945858050219	0.012472107873016617	0.023058052597629015	-0.017860809456322162	-0.006521781984574281	-9.469828359375123e-09	0.0035723852821617328	0.004611335513782145	0.013834719211203002	0.023962766916648417	-0.02025217170520366	-0.016535663960873807	-0.012808413943220473	-0.009057360419792864	-0.005228754642461552	0.035721411832675694	0.015974960511379786	0.008749820193718323	0.005051528305431162	0.002700572173558031	-0.005229248610517598	0.033209143444155174	0.017077983708570298	0.0066142401158298	-0.0013497914531440803	-0.007987839943467018	-0.013834664537670368	-0.01757246785806789	-0.02475594064584115	0.01757278196585527	0.010103557001300821	0.005051723918278652	0.001596986842426056	-0.000603348237868826	-0.0015974978096659335
12	-0.01831152152654194	-9.580051989186333e-09	0.0074755733383342305	0.009155570161046858	0.02527230798035414	-0.015476096047701646	-0.011987599768796148	-0.008476507409592606	-0.004893722814039375	0.032829767710343315	-1.8038972878585243e-07	-2.3967653916703682e-08	1.0729823607789427e-08	-2.953940109028305e-07	0.029363788145280675	0.011302025897699757	0.0019979352547142767	-0.0046428925745466846	-0.010108674899308655	-0.01868920230709381	0.014476720193969712	0.005286070462946346	-9.401700100580594e-09	-0.0028950425222672408	-0.003737963600969207	-0.011213395230993	-0.019422537468936216	0.016414985910144834	0.013402591605411955	0.010381570595038475	0.007340500470909128	0.004238465589543416	-0.02895321869039593	-0.012948115026730414	-0.007091944832691496	-0.004094686818531735	-0.0021883672234014723	0.004238505410249418	-0.026916973866238907	-0.013842154595905655	-0.005361025244114374	0.0010945914606897312	0.006473716750160848	0.01121336610776247	0.014242939178767847	0.020065430587794933	-0.01424330686006673	-0.008189190247424972	-0.004094528153552428	-0.0012952348252532652	0.0004897677472725463	0.0012947931010668468
13	0.015087401352457534	7.657243648177246e-09	-0.00615932829558431	-0.007543683684061948	-0.020822600268857714	0.012751221432498617	0.009876916592190496	0.006984018153358628	0.004032374283178502	-0.02704943328895483	1.880977286657704e-07	2.1711098093319267e-08	1.2676648052914516e-08	-2.3313412155761719e-07	-0.0241936973483741	-0.009312053019123252	-0.001646145840570057	0.0038252120614223335	0.008329045384283312	0.015398604667687495	-0.01192783756948686	-0.0043553423302414105	-1.2095836325742207e-08	0.0023856842645957194	0.003079524912670037	0.009239028070458913	0.016002855876897183	-0.013524836895441678	-0.011042765123853665	-0.008553629267809138	-0.006048636064763377	-0.0034918383134712287	0.023855446532721775	0.0106683134626401	0.005843261166212034	0.0033734851444186345	0.0018034680077870628	-0.0034922795900845676	0.022177741971873652	0.011404933952307567	0.004417071469294288	-0.0009014060259369565	-0.0053343909965545356	-0.009238986014681247	-0.01173515496742584	-0.01653256297559278	0.01173556348064465	0.006747316589195452	0.0033736344950204824	0.001066472145828984	-0.00040291345075171386	-0.0010668433531884254
14	-0.012606339342337666	-5.770913855629102e-09	0.005146447413643582	0.006303024925444284	0.017398409854755926	-0.010654343637827583	-0.008252682806460066	-0.005835526203668362	-0.00336902670895827	0.022601281811709936	-1.8999352593580756e-07	-1.647561022658271e-08	1.1560435743110527e-08	-1.8150978558235895e-07	0.02021514889752399	0.00778070905670702	0.0013754494803827422	-0.003196320507459031	-0.006959179544797272	-0.01286638411723671	0.009966387838259882	0.003639114920327308	-1.1024978259855402e-08	-0.0019930644601311716	-0.0025733319475436203	-0.007719692088528792	-0.01337129812554982	0.011300773398469537	0.00922681258922964	0.007147044016006265	0.005053476396668806	0.0029178980858800716	-0.019932546558830987	-0.008913934594423708	-0.0048823402459698744	-0.002818918205588772	-0.0015065693481990331	0.0029180306959533183	-0.018530749880057144	-0.009529422221811289	-0.003690722613301876	0.0007535445658912203	0.00445675233271183	0.007719677081639036	0.009805337329969377	0.013813907280522928	-0.009805772646394517	-0.005637730799050997	-0.0028187970437291445	-0.0008916770363156428	0.00033716265315014975	0.0008913749194237926
