l	212-2	222-1	203-3	213-2	223-1	2-14-4	204-3	214-2	224-1	312-2	322-1	3320	303-3	313-2	323-1	3330	3-14-4	304-3	314-2	324-1	3340	412-2	422-1	4320	4421	403-3	413-2	423-1	4330	4431	4-14-4	404-3	414-2	424-1	4340	4441
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	-0.02735919491230312	-0.054713564717960905	0.03853987559443937	0.0847794287136796	0.11210320678296411	-0.03468744369114722	-0.0800982382253553	-0.12234031765532424	-0.1297510720974708	0.009752526939078585	0.05241330187634307	0.13563825610644895	0.010192576758922258	-0.0072169427887707775	-0.06777135612214483	-0.16107148490779702	-0.03342657970435505	-0.0497633211761082	-0.037893711692217266	0.015619518691990042	0.09997498100207616	0.0086503516054064	0.012228155874761731	-0.024040273343861388	-0.1965175550164381	-0.012138231893424473	-0.03556160824509694	-0.060782607491491676	-0.049756133020391814	0.08767246512145042	-0.0022337369848013052	0.014439878143028016	0.05059301840364324	0.09712869146186638	0.11839724058516782	0.026307922764013936
4	0.0579113291974785	0.08422618271102804	-0.09344345467664218	-0.15572113452434466	-0.13786606430247644	0.09284099845480451	0.16393578070582163	0.17334254921427716	0.10212790905119719	-0.03940489827162962	-0.12458497995099699	-0.1868519183966851	-0.0015939493387861	0.061687102960588276	0.14808282392556277	0.14989526805052775	0.069237241058558	0.06578845667262599	0.015008222077716607	-0.03356128565693921	-0.007822455507426159	-0.012252348658255323	0.017354934053786714	0.1273780412527041	0.24350700439197973	0.03923553006845091	0.07117259637156328	0.061846638030351626	-0.003153190469225477	-0.009736502246645153	-0.01942575821409628	-0.06906411585209844	-0.11845987043310045	-0.13330423784432824	-0.10421788453996732	-0.11971754201998436
5	-0.06857665385124538	-0.06856895781026615	0.12821641084045365	0.14927213376106582	0.07440397816391392	-0.142274221059009	-0.1733796548563931	-0.09755052843609073	1.4091579312421706e-05	0.07443277411249276	0.14928123983955527	0.12818909260498534	-0.03719346981643999	-0.12158002559434028	-0.1333774394820537	-0.0315758999315575	-0.067849817901285	-0.019795409335093182	0.01718606596182336	-0.023731412291922684	-0.08088843665353823	-0.007901147517314619	-0.08644961785846582	-0.18068746377578268	-0.14012366098240858	-0.05533476372157668	-0.04701542352229525	0.006773139581827042	0.009143964268190646	-0.08363648946131041	0.06492296014266388	0.11290110985702981	0.1118453630574281	0.08549514618549764	0.09387831185411415	0.09288829102519232
6	0.06086512922905666	0.045646099382756856	-0.12860571370473972	-0.1028715331182881	-0.03253086207688853	0.15811023958743642	0.12054495451614301	0.019975431233437944	-0.01412469449536917	-0.08947525752082926	-0.12087893207670491	-0.07458351682948937	0.0780616380364839	0.12314976195589027	0.05967637333222781	-0.003183951556949033	0.029759949101926905	-0.01978099566026265	0.015665497479208534	0.07388293509151371	0.03306617794263495	0.04302176247979448	0.1229243772923834	0.13335121170407016	0.07338009625718026	0.03502887264710099	-0.013325345012950714	-0.023335231023676448	0.05317614991687518	0.05742462648595282	-0.09347074405875844	-0.09130386144121935	-0.0638993311981704	-0.08193494320096645	-0.09477273221866739	-0.00282741871806041
7	-0.048797476031855254	-0.0321035983517245	0.11070179677186011	0.06728616787462667	0.021280420375057	-0.14652002461034516	-0.06766315559135776	-4.812580750492263e-06	-3.3560895870174006e-06	0.08374319111081885	0.08703863032361858	0.05144440942488444	-0.09476612326368211	-0.08729799693314423	-0.02233510149251666	-0.0034496845419954903	0.009683800702692265	0.013165991261429272	-0.052443147648226544	-0.04883722298443017	-0.003928089816947744	-0.06579549045805472	-0.10853536848392022	-0.08458763359287119	-0.05274826762484783	0.003989180383973859	0.03762948731436557	-0.013774059244448845	-0.055442800447605876	-0.026877250425213314	0.08212239046523213	0.048851323567337734	0.06386968687239247	0.09292096736175774	0.03341328458822308	-0.002552356047326941
8	0.03855232904636931	0.023559760041121307	-0.09050740117621965	-0.04706385211019017	-0.014882906467680543	0.124900756058918	0.03762134109907031	2.8822010821005115e-06	-2.013544725889315e-06	-0.07097996303288474	-0.06480329898792489	-0.03728906054301552	0.09099626377280888	0.05756705569047132	0.014226250207906311	0.0019142641319177805	-0.030483377417746104	0.008305949951347999	0.04991065566026615	0.022323177100775762	0.008156049409040814	0.0690861592701432	0.08332922985340901	0.062080187345685586	0.03801258437683628	-0.0313614775185043	-0.025748006221973395	0.02841256892656188	0.033176450320984555	0.022353769351100596	-0.05177904045290546	-0.03716114613015022	-0.07869180465908043	-0.057598456571992675	-0.007391476479735413	-0.008656299318825658
9	-0.030653449607220305	-0.017881179721349356	0.07340286154933397	0.03454253040487094	0.010923303594126963	-0.10362756498958091	-0.022436041619971446	-2.3864508789301456e-09	1.0887082960440309e-08	0.05871276155846637	0.049654883936089585	0.028065800955678084	-0.0799670487535717	-0.04038947476740856	-0.009693482041449836	-0.001142377101606253	0.03635120119709846	-0.01978899227508943	-0.036634163080619134	-0.016388273049033272	-0.005981446063220568	-0.06300755233705539	-0.06511603587841118	-0.04711567048455104	-0.0284975789148645	0.04113420875578763	0.012285402304146192	-0.023810905629725224	-0.02572500761612979	-0.016962890537662353	0.027166585960852797	0.04362096408683597	0.0679061278445457	0.029623780891068843	0.012094570386650117	0.0039565685113884625
10	0.024671707913642142	0.01394488010276899	-0.059834445747152895	-0.026290900908131343	-0.008313911952479436	0.08567204163086273	0.014132242444756391	-2.6179364085301986e-09	-4.517216164967491e-10	-0.048450026467685106	-0.038983054737870844	-0.021757984257934477	0.06835985318408243	0.029681076877289072	0.006953850758764185	0.0007195775057728487	-0.03561724365678769	0.022849624409565623	0.027885707598389996	0.012470877698417595	0.004553713512099405	0.054952345234242334	0.051809592136215867	0.03674378609400015	0.0220299589906932	-0.0416115063243707	-0.005590406946691504	0.019808455552902584	0.020356976012001503	0.013229273403705558	-0.013244180943296803	-0.04651009916260599	-0.05073963879636994	-0.022076507705644084	-0.008972725974315882	-0.0029249717914265503
11	-0.020123385076524367	-0.01112082135354868	0.049231840179067045	0.02058787126062018	0.006510458920409875	-0.07116238030021382	-0.009302429085747166	-4.728206036458792e-10	-5.711784860250719e-09	0.04019496797438496	0.031239848308132673	0.017275909036529587	-0.05802275527787866	-0.022607447020008553	-0.005191338659571229	-0.00047366226950773803	0.03265514009556548	-0.022560823447693307	-0.021836738249907842	-0.009765687726881073	-0.0035659147122991354	-0.04722438617200375	-0.04191850121558702	-0.029302582711389316	-0.017454936546608447	0.03875997480642469	0.002123001760954009	-0.016519954678270565	-0.016407911114626667	-0.010550129763137416	0.005916072416725818	0.044398106121335996	0.03916826169785583	0.017000385813431888	0.006892466645802525	0.002236195748493971
12	0.016626197447002892	0.009035978229973256	-0.040933212979668766	-0.016495484626698725	-0.005216325435857768	0.0595669814933857	0.006349136993354317	-3.388210446159313e-09	-9.817518500699836e-09	-0.033616325236490247	-0.025476353118531365	-0.013990607504170824	0.04930031747524063	0.01771606635464007	0.004000404615086071	0.00032327172245554453	-0.029145711133619478	0.020997664277034495	0.017496104665938022	0.007824489858807753	0.002857116887506084	0.040461135732085506	0.03442942494676667	0.02380918098649505	0.014112792730387522	-0.03492005630256356	-0.00028982665050670945	0.013867272004782839	0.013438527353288697	0.008572294767160153	-0.0019513532492255162	-0.04056657239791768	-0.031026958458277958	-0.013443314334396692	-0.0054373810673599724	-0.0017581091196594708
13	-0.013901455402426348	-0.00745932118709262	0.034386944029234486	0.01346823120348644	0.004259031732463241	-0.05029089785860116	-0.004467022028276037	2.2110292699075115e-09	-9.33915665088629e-09	0.028363290805855822	0.021090667201756477	0.0115196360344244	-0.042077906695157576	-0.014206690264072895	-0.003162993855282305	-0.00022745835800445192	0.02573279192822606	-0.019040960494906264	-0.014285222841893012	-0.006388552931202037	-0.0023327476660313625	-0.034739300433405715	-0.02865849131483959	-0.019654781998322678	-0.01160560721283909	0.03102074258946331	-0.000679595961885147	-0.011732099669090267	-0.011161991628621536	-0.007076519456950926	-0.00021741621288645803	0.036364110390336817	0.025102016050994446	0.01086075178224212	0.0043843641288503	0.0014136176246623562
14	0.011749983568375791	0.006242180211906482	-0.029170981940898157	-0.011171876358824395	-0.003532852738264183	0.04282547641381602	0.0032250664707854436	-3.6128534535407944e-09	-9.526561416624296e-09	-0.02414116585189588	-0.017688797176123656	-0.009620219489000386	0.03612639665364668	0.011611493046664928	0.0025545308066557463	0.00016420207311552	-0.02264232622104251	0.017065255838657346	0.011849570470031467	0.00529927701903304	0.0019350420975533956	0.029957569569009985	0.024139024377865925	0.016447717955107098	0.009682282039032514	-0.027412781150873995	0.0011775820266492045	0.01000629243293332	0.009385909003027057	0.005921865650726312	0.0013934468246916667	-0.03233625656045546	-0.02066741339753119	-0.008931650498391402	-0.003599798975134864	-0.001158009139037337
