l	224-4	333-3	324-4	334-3	442-2	433-3	443-2	424-4	434-3	444-2
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.015017716773804509	0.01776920211876416	-0.02369636049173853	-0.0444511751684342	0.015017716773804505	-0.017103146590885944	-0.047380447983318134	0.00406649626875916	0.030252956242723967	0.06672870180097436
7	-0.017334977350702812	-0.020511021808996527	0.038522682765264896	0.03841214521058452	-0.017334977350702812	0.032640118566086056	0.04352140447072123	-0.022430072231379376	-0.05278629196667356	-0.035655446737237494
8	0.0126028677859803	0.014911914263543095	-0.037286602225653644	-0.017210924335029312	0.0126028677859803	-0.03444546195010604	-0.02236105482851873	0.03913240629386734	0.040987481889766246	-0.0003568803004590445
9	-0.007807870078690268	-0.009238396464321575	0.027315642045632145	0.005795148222629498	-0.0078078700786902685	0.026207595890709798	0.009637943811654177	-0.04073974382924616	-0.017315133714807047	0.0060310494499052555
10	0.004808126145583785	0.005689051576896183	-0.018044064222104483	-0.0021565375436688934	0.004808126145583785	-0.017550915212459165	-0.004712142085480245	0.03220831420243636	0.0047892648338868984	-0.003064636269548256
11	-0.003027464228002645	-0.003582143982668746	0.011804791766917648	0.0008460631399738272	-0.0030274642280026447	0.011562847616044968	0.0025237841637573383	-0.022858735381796596	-0.0008901059213779121	0.0016965026522652237
12	0.0019601789257414105	0.0023193149827673365	-0.007827688779171851	-0.0003347634598788156	0.0019601789257414105	-0.007699579317938707	-0.0014495711518974946	0.015874104035118287	-0.0003092407197709382	-0.0010008090393670184
13	-0.0013046427706947927	-0.001543674143974904	0.005294727117831055	0.00012486052442409537	-0.0013046427706947914	0.005222583570965764	0.0008799694580685653	-0.011059129223234395	0.00061299551122483	0.0006212216431146536
14	0.0008908370468467997	0.0010540526085773023	-0.003657435508851256	-3.66601499569951e-05	0.0008908370468467995	-0.003614685193855803	-0.0005587749254579563	0.00779637000162926	-0.000620577194694841	-0.00040191529942772917
15	-0.0006225681388243506	-0.000736632555940139	0.002578213616713054	3.799858859698227e-10	-0.0006225681388243502	0.0025517696468094	0.0003683166070475021	-0.005577697870747108	0.0005401961908090003	0.0002691400398932515
16	0.00044428143151620426	0.0005256808789999149	-0.0018521794041244425	1.419857612837783e-05	0.00044428143151620497	-0.0018352105581190172	-0.0002505441118752153	0.004051969597327952	-0.000444521771372966	-0.00018555907698776533
17	-0.00032307461775096607	-0.0003822670429018245	0.0013539838164958642	-1.8531981012731237e-05	-0.00032307461775096607	0.001342743861742877	0.00017508435511143583	-0.002987899769586128	0.00035736486510087553	0.00013117502598506157
18	0.00023895418239434384	0.0002827344015100552	-0.0010056992513951734	1.8623987286628385e-05	0.00023895418239434373	-0.0009980446842126165	-0.00012523835464504842	0.0022347139217575827	-0.00028475733557773087	-9.476665016016085e-05
19	-0.00017946736708986195	-0.0002123486524332898	0.0007579665612785128	-1.702753487087124e-05	-0.0001794673670898617	0.0007526248447373563	9.142804845464537e-05	-0.001693712979668367	0.000226504090895152	6.978216451042395e-05
20	0.00013667716390311767	0.0001617186012357257	-0.000578917963691427	1.489893865700191e-05	0.0001366771639031176	-0.0005751086063954966	-6.795644125147272e-05	0.001299618386663368	-0.00018052757809352928	-5.225873123570235e-05
