l	334-4	443-3	434-4	444-3
2	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0
7	0.017067659047659573	0.017067659047659573	-0.017742526111210043	-0.04138157916240798
8	-0.018161775091099498	-0.018161775091099498	0.030726631547731007	0.032187602879115394
9	0.012372787673208515	0.012372787673208515	-0.030010748835337196	-0.012849844927180913
10	-0.007248932810437509	-0.007248932810437509	0.021443392520604124	0.0036676473360575173
11	0.004234479195951334	0.004234479195951334	-0.013598251384148729	-0.0010704148378135121
12	-0.0025348056240859116	-0.0025348056240859108	0.008512022920275576	0.00026880133618069086
13	0.0015633757977368769	0.0015633757977368762	-0.005398223348411914	-1.7469277595677295e-05
14	-0.0009930530189343383	-0.0009930530189343379	0.003494352436372918	-5.4315869565049934e-05
15	0.0006482803263602507	0.0006482803263602515	-0.0023123399055505352	6.663097994395671e-05
16	-0.0004338767947140703	-0.0004338767947140707	0.0015633937225942455	-6.04004172544418e-05
17	0.00029699183606844085	0.00029699183606844004	-0.0010785908576341676	4.9780958626755946e-05
18	-0.0002074671135032993	-0.00020746711350329912	0.0007581641972532673	-3.947703427851935e-05
19	0.00014761720051243937	0.00014761720051243937	-0.0005421695084704136	3.0808525753159176e-05
20	-0.00010679819160020203	-0.00010679819160020203	0.0003938742151609148	-2.3914427144864843e-05
